id,label
936,Jane Markle
963,Virginia D. Becker
970,Clara Hall
979,Emily Kingsbery
980,Estelle Cozine
981,Esther Alger
982,Ethel Morgan
995,Hazel Strayer
1019,Virginia Roediger
1029,Phyllis Marschall
1075,Eleanor Williams
1126,Beatrice Beach
1129,Charlotte Larson
1130,Constance Welch
1149,Elizabeth Kimball
1152,EOdyth Carliph
1172,Hollis Mitchell
1173,Ilona E. Bucko
1174,Irene Mills
1181,Joyce Lichtenstein
1185,Mada Gage
1187,Marjorie A. Hughes
1188,Maryn Myers
1189,Mildred Sutherland
1190,Mildred W. Starkweather
1205,Virginia Lee Comer
1224,Doris Frankel
1225,Edith I. Allen
1228,Edith Stebbins
1230,Elisabeth Wehner Smith
1245,Jane Q. Ogborn
1252,Katherine Hoover
1254,Marjorie Hertsche
1255,Mary Merrill
1259,Marynn Older
1260,Mildred A. Karch
1265,Miriam Clymer
1266,Miriam Doan
1267,Miriam Lewis
1269,Phyllis Stohl
1270,Rebecca Gallagher
1271,Rhoda Rammelkamp
1275,Rose Veselak Land
1284,Alice L. Mathews
1318,Helen M. Cohn
1319,Helen Rovene Williams
1357,Cleland Davis
1419,Elisabeth Averill
1430,Irma R. Jones
1431,Irma J. Smithton
1445,Mary Wilsey
1446,Mercedes Moore
1460,Ruth Champlin
1463,Sarah Emily Brown
1478,Dorothy McLaughlin
1491,Gladys S. Kuehne
1500,Harriet Smith
1504,Hope Decatur
1506,Jane Alexander
1508,Joni Koenig
1516,Lucille Newman
1518,Marie Brown
1525,Norma Fuller
1531,Rita Haskin
1540,Ruth Lane
1550,Caretta E. Miles
1565,Lucy W. Swift
1567,Mary Jane Alspach
1576,Virginia Miller
1583,Amy Jacobs
1587,Barbara Girsdansky
1602,Eleanor H. Furst
1612,Harriet Richardson
1615,Helen Ward
1636,Margaret Hazlewood
1637,Margaret Ulmer
1638,Marion Hazard
1661,Beatrice Brill
1676,Elizabeth Stearns
1682,Genevieve Bonner
1692,Hope Norman
1694,Iris Manley
1695,Irma E. Loewenstein
1710,Lucille McGuire
1711,Margaret Potter
1712,Mary Wills
1715,Miriam Stern
1721,Sally Stearns
1738,Jacqueline Soans
1742,Patricia Montgomery
1745,Sarah Click
1761,Gloria Gingold
1766,Margaret Gnau
1767,Mary Elizabeth Plehn
